lambdaa,%T
18261,1.005799174
18260,1.008742213
18259,1.017822504
18258,1.022580981
18257,1.034149766
18256,1.041802168
18255,1.049769998
18254,1.058714509
18253,1.065346122
18252,1.069295883
18251,1.080570936
18250,1.086319327
18249,1.094935417
18248,1.103991866
18247,1.112792253
18246,1.119802713
18245,1.125698209
18244,1.13310945
18243,1.146142244
18242,1.151342511
18241,1.161820889
18240,1.172260523
18239,1.18319869
18238,1.190487742
18237,1.199836969
18236,1.211087346
18235,1.220341563
18234,1.229383111
18233,1.239572525
18232,1.252475262
18231,1.262802124
18230,1.268901944
18229,1.274833441
18228,1.281232119
18227,1.298662663
18226,1.311007977
18225,1.322125316
18224,1.336172462
18223,1.349305511
18222,1.360253692
18221,1.369596958
18220,1.376125455
18219,1.391195655
18218,1.402543068
18217,1.41273582
18216,1.42479229
18215,1.439918876
18214,1.454482913
18213,1.462220788
18212,1.472429991
18211,1.481509805
18210,1.496661067
18209,1.508526683
18208,1.520139575
18207,1.534972429
18206,1.550034642
18205,1.562625885
18204,1.575529218
18203,1.590720177
18202,1.60170126
18201,1.61913538
18200,1.630787611
18199,1.645451546
18198,1.659018159
18197,1.675962806
18196,1.689036727
18195,1.699031711
18194,1.716724038
18193,1.729457259
18192,1.744874597
18191,1.760880113
18190,1.772505045
18189,1.787112236
18188,1.80793047
18187,1.819518805
18186,1.835387945
18185,1.853337169
18184,1.87083149
18183,1.885438561
18182,1.900308728
18181,1.917057157
18180,1.927814484
18179,1.943646908
18178,1.956571579
18177,1.973268628
18176,1.99155581
18175,2.011903763
18174,2.02509737
18173,2.03584075
18172,2.059187174
18171,2.076780558
18170,2.095160007
18169,2.108119726
18168,2.123814344
18167,2.146487713
18166,2.162013054
18165,2.181515217
18164,2.195324898
18163,2.216121197
18162,2.233054399
18161,2.250746965
18160,2.262719154
18159,2.285177946
18158,2.30545783
18157,2.329604149
18156,2.348689556
18155,2.365553617
18154,2.387671947
18153,2.410174608
18152,2.427017927
18151,2.44610858
18150,2.470479727
18149,2.494395256
18148,2.514384031
18147,2.535275459
18146,2.555448771
18145,2.581734896
18144,2.604220152
18143,2.623232603
18142,2.645635843
18141,2.672380924
18140,2.69821167
18139,2.717580557
18138,2.739147186
18137,2.768507957
18136,2.793977737
18135,2.822919607
18134,2.843902349
18133,2.867625237
18132,2.899329662
18131,2.921716452
18130,2.948657036
18129,2.97307086
18128,3.005072355
18127,3.033498287
18126,3.048118114
18125,3.073925257
18124,3.106654644
18123,3.140197992
18122,3.162452221
18121,3.188900948
18120,3.211965322
18119,3.249834061
18118,3.277499914
18117,3.304894209
18116,3.330326796
18115,3.373663902
18114,3.401705742
18113,3.428258419
18112,3.450893879
18111,3.488354445
18110,3.518349648
18109,3.546420574
18108,3.572679996
18107,3.606804848
18106,3.646339178
18105,3.675708294
18104,3.704623222
18103,3.737808466
18102,3.775306702
18101,3.813010454
18100,3.843355656
18099,3.876703501
18098,3.921402931
18097,3.958223343
18096,3.98988986
18095,4.028030872
18094,4.06602335
18093,4.111508846
18092,4.142864227
18091,4.177417755
18090,4.211606026
18089,4.259456635
18088,4.297419071
18087,4.332712173
18086,4.373328209
18085,4.412996292
18084,4.459258556
18083,4.496795654
18082,4.533548355
18081,4.577778816
18080,4.631982803
18079,4.670016766
18078,4.708315849
18077,4.750843525
18076,4.800760746
18075,4.840806484
18074,4.886256695
18073,4.924835682
18072,4.977931023
18071,5.021528721
18070,5.062180519
18069,5.107855797
18068,5.160211086
18067,5.216135979
18066,5.260124683
18065,5.308028221
18064,5.355338573
18063,5.414772987
18062,5.46173811
18061,5.511758327
18060,5.556274414
18059,5.62265873
18058,5.678888321
18057,5.721123695
18056,5.770795345
18055,5.823653698
18054,5.890388966
18053,5.941866875
18052,5.993118286
18051,6.049939156
18050,6.125201225
18049,6.178600788
18048,6.233914375
18047,6.284793377
18046,6.363727093
18045,6.429954052
18044,6.488360405
18043,6.542685509
18042,6.615487576
18041,6.68503952
18040,6.743888378
18039,6.805940151
18038,6.865089417
18037,6.944464207
18036,7.011051655
18035,7.06846714
18034,7.139445782
18033,7.223628521
18032,7.300701618
18031,7.367084026
18030,7.428135872
18029,7.515586853
18028,7.597679138
18027,7.662837982
18026,7.7360816
18025,7.815795898
18024,7.905237198
18023,7.97599268
18022,8.047534943
18021,8.118234634
18020,8.219834328
18019,8.299289703
18018,8.372626305
18017,8.452536583
18016,8.549396515
18015,8.644619942
18014,8.717406273
18013,8.807778358
18012,8.890835762
18011,8.99686718
18010,9.070949554
18009,9.159913063
18008,9.240922928
18007,9.345370293
18006,9.434906006
18005,9.524695396
18004,9.604786873
18003,9.715044975
18002,9.822673798
18001,9.909982681
18000,10.00574017
17999,10.11158848
17998,10.24011421
17997,10.3364315
17996,10.43362617
17995,10.53111649
17994,10.6655941
17993,10.77486324
17992,10.86705208
17991,10.97338676
17990,11.10796738
17989,11.22041416
17988,11.32292271
17987,11.42612171
17986,11.53750515
17985,11.67930031
17984,11.78937721
17983,11.89269066
17982,12.00630188
17981,12.16817093
17980,12.28067684
17979,12.39161587
17978,12.50404549
17977,12.66047382
17976,12.79499245
17975,12.90633202
17974,13.02470684
17973,13.17382431
17972,13.31758785
17971,13.43259239
17970,13.56362152
17969,13.68917847
17968,13.8509531
17967,13.98302746
17966,14.10653782
17965,14.24353981
17964,14.41860199
17963,14.56499672
17962,14.70383072
17961,14.84212303
17960,15.003479
