lambdaa,%T
1368,1.019534111
1367,1.130153537
1366,1.261068821
1365,1.40910852
1364,1.569636106
1363,1.761329889
1362,1.978670239
1361,2.218713045
1360,2.494430065
1359,2.801173449
1358,3.123422384
1357,3.482768297
1356,3.897746563
1355,4.357187271
1354,4.868513584
1353,5.454159737
1352,6.094662666
1351,6.779588223
1350,7.570759296
1349,8.460523605
1348,9.408214569
1347,10.56099319
1346,11.82062435
1345,13.11706161
1344,14.6796999
1343,16.45181274
1342,18.44449043
1341,20.71732521
1340,23.39235878
1339,26.32369995
1338,29.53638458
1337,33.37595367
1336,37.58766556
1335,42.03722
1334,47.09626007
1333,52.50099182
1332,57.66423798
1331,63.13603973
1330,68.49402618
1329,73.23712158
1328,77.7649231
1327,81.57128906
1326,84.50695038
1325,86.90370178
1324,88.65008545
1323,89.84338379
1322,90.62145996
1321,91.08963013
1320,91.33114624
1319,91.38256836
1318,91.39134216
1317,91.37889862
1316,91.31117249
1315,91.28075409
1314,91.29851532
1313,91.30406189
1312,91.35554504
1311,91.36106873
1310,91.42844391
1309,91.43691254
1308,91.45510864
1307,91.43385315
1306,91.4360733
1305,91.42941284
1304,91.33783722
1303,91.28816223
1302,91.19595337
1301,91.13904572
1300,91.02140045
1299,90.97640228
1298,90.88386536
1297,90.82550812
1296,90.80708313
1295,90.78411102
1294,90.77735138
1293,90.73638916
1292,90.72449493
1291,90.75582886
1290,90.72383118
1289,90.70965576
1288,90.61784363
1287,90.64996338
1286,90.62453461
1285,90.560112
1284,90.47213745
1283,90.44215393
1282,90.3367157
1281,90.2829361
1280,90.17808533
1279,90.06264496
1278,90.04412842
1277,89.99892426
1276,89.96141052
1275,89.88407898
1274,89.84596252
1273,89.81031036
1272,89.76441956
1271,89.72940063
1270,89.69755554
1269,89.64583588
1268,89.55072784
1267,89.534935
1266,89.44695282
1265,89.35961151
1264,89.22486115
1263,89.1251297
1262,88.97110748
1261,88.85005951
1260,88.75907898
1259,88.61136627
1258,88.5147171
1257,88.38999939
1256,88.32952118
1255,88.21747589
1254,88.1758728
1253,88.07540131
1252,88.07370758
1251,88.06589508
1250,88.01985931
1249,88.06625366
1248,88.04567719
1247,88.05169678
1246,88.02735138
1245,88.0018158
1244,87.99920654
1243,87.90922546
1242,87.8832016
1241,87.83969116
1240,87.74837494
1239,87.68043518
1238,87.61347198
1237,87.55374908
1236,87.47324371
1235,87.43415833
1234,87.39533997
1233,87.3314743
1232,87.27611542
1231,87.29316711
1230,87.33940125
1229,87.33441162
1228,87.33093262
1227,87.31748199
1226,87.37121582
1225,87.37385559
1224,87.3891983
1223,87.40871429
1222,87.38546753
1221,87.38115692
1220,87.30017853
1219,87.26302338
1218,87.1966629
1217,87.14532471
1216,87.05063629
1215,86.96511078
1214,86.91809845
1213,86.78958893
1212,86.73540497
1211,86.63425446
1210,86.56328583
1209,86.53651428
1208,86.47109985
1207,86.43399811
1206,86.37958527
1205,86.33538818
1204,86.28239441
1203,86.27341461
1202,86.20669556
1201,86.15074921
1200,86.1523056
1199,86.05348206
1198,85.98825073
1197,85.93791962
1196,85.84090424
1195,85.80051422
1194,85.69225311
1193,85.63652039
1192,85.56806183
1191,85.50043488
1190,85.41364288
1189,85.36032104
1188,85.24594116
1187,85.051651
1186,84.81304169
1185,84.44830322
1184,83.76771545
1183,82.92895508
1182,81.66846466
1181,79.85162354
1180,77.52378082
1179,74.65518188
1178,70.97409058
1177,66.55849457
1176,61.86307144
1175,56.30441284
1174,50.57917786
1173,45.08031845
1172,39.61291504
1171,34.42327118
1170,29.85925102
1169,25.5487709
1168,21.80678177
1167,18.70233345
1166,15.97582436
1165,13.66225052
1164,11.68771362
1163,10.04524612
1162,8.581619263
1161,7.325763226
1160,6.286753178
1159,5.381034374
1158,4.609931469
1157,3.99617672
1156,3.441534281
1155,2.969909191
1154,2.595309496
1153,2.262203217
1152,1.976200581
1151,1.738421202
1150,1.524431109
1149,1.341339588
1148,1.189148784
1147,1.056415439
