lambdaa,%T
2374,1.006115556
2373,1.073696017
2372,1.143932819
2371,1.222282052
2370,1.307672858
2369,1.395738959
2368,1.492790699
2367,1.597317338
2366,1.710961819
2365,1.829728723
2364,1.967438459
2363,2.1120193
2362,2.263328075
2361,2.430148125
2360,2.613703489
2359,2.802953482
2358,3.022540092
2357,3.260070801
2356,3.50628686
2355,3.771444321
2354,4.066778183
2353,4.382529259
2352,4.723690987
2351,5.108209133
2350,5.518566608
2349,5.944871902
2348,6.419381618
2347,6.938476086
2346,7.472304344
2345,8.094985962
2344,8.754199028
2343,9.442770004
2342,10.1898222
2341,10.8861084
2340,11.58595562
2339,12.43751907
2338,13.386446
2337,14.36351585
2336,15.40695095
2335,16.53387451
2334,17.77289391
2333,19.05797768
2332,20.52046967
2331,22.04075241
2330,23.6054287
2329,25.23228455
2328,27.00154877
2327,28.81119537
2326,30.76644325
2325,32.86671448
2324,34.99087143
2323,37.11018753
2322,39.37862396
2321,41.70370483
2320,43.97019196
2319,46.513237
2318,48.96180725
2317,51.33969116
2316,53.82327271
2315,56.33180237
2314,58.70813751
2313,61.20040894
2312,63.65011978
2311,65.96754456
2310,68.25827026
2309,70.49319458
2308,72.64506531
2307,74.66208649
2306,76.72100067
2305,78.58718109
2304,80.33664703
2303,82.02937317
2302,83.61896515
2301,85.06569672
2300,86.50218964
2299,87.8037262
2298,88.94022369
2297,90.03365326
2296,91.05175018
2295,91.95954132
2294,92.76932526
2293,93.59078979
2292,94.26274109
2291,94.83140564
2290,95.43054962
2289,95.84823608
2288,96.33513641
2287,96.72908783
2286,97.10499573
2285,97.39247894
2284,97.65811157
2283,97.89144897
2282,98.06465149
2281,98.28091431
2280,98.45696259
2279,98.59405518
2278,98.72764587
2277,98.78663635
2276,98.82424164
2275,98.93840027
2274,99.02780151
2273,99.0664444
2272,99.1061554
2271,99.18093872
2270,99.1856308
2269,99.19018555
2268,99.22938538
2267,99.27993774
2266,99.31412506
2265,99.27770996
2264,99.31420898
2263,99.29862976
2262,99.32137299
2261,99.36886597
2260,99.31102753
2259,99.38227844
2258,99.35105133
2257,99.35102844
2256,99.32546234
2255,99.38278198
2254,99.32099152
2253,99.31211853
2252,99.35292816
2251,99.34156799
2250,99.28218842
2249,99.27149963
2248,99.24352264
2247,99.27458191
2246,99.25757599
2245,99.25970459
2244,99.24752808
2243,99.20326233
2242,99.18869019
2241,99.16031647
2240,99.11948395
2239,99.15105438
2238,99.10643005
2237,99.14020538
2236,99.11660004
2235,99.06813812
2234,99.01819611
2233,99.02388763
2232,99.01112366
2231,98.95561981
2230,98.95797729
2229,98.91213226
2228,98.90784454
2227,98.87353516
2226,98.84888458
2225,98.86112213
2224,98.85535431
2223,98.86009216
2222,98.84214783
2221,98.76548004
2220,98.79732513
2219,98.75587463
2218,98.76539612
2217,98.74755096
2216,98.74950409
2215,98.76114655
2214,98.74286652
2213,98.70593262
2212,98.69023895
2211,98.7503891
2210,98.7246933
2209,98.73646545
2208,98.79634857
2207,98.79602814
2206,98.77546692
2205,98.77156067
2204,98.79079437
2203,98.7922287
2202,98.84525299
2201,98.86361694
2200,98.8709259
2199,98.89380646
2198,98.94417572
2197,98.97682953
2196,98.97534943
2195,98.99529266
2194,99.01909637
2193,99.0464859
2192,99.10810852
2191,99.08950043
2190,99.16353607
2189,99.16181946
2188,99.16555023
2187,99.19459534
2186,99.26720428
2185,99.27987671
2184,99.31127167
2183,99.33946228
2182,99.31863403
2181,99.31974792
2180,99.37451172
2179,99.35277557
2178,99.43912506
2177,99.47898102
2176,99.45064545
2175,99.50988007
2174,99.49143219
2173,99.54159546
2172,99.5488739
2171,99.55860138
2170,99.53295135
2169,99.61700439
2168,99.58473206
2167,99.58508301
2166,99.58573914
2165,99.60959625
2164,99.60990143
2163,99.64422607
2162,99.5986557
2161,99.57207489
2160,99.64753723
2159,99.64326477
2158,99.64089966
2157,99.61112976
2156,99.59916687
2155,99.57975769
2154,99.58724213
2153,99.56958008
2152,99.58604431
2151,99.56066132
2150,99.568573
2149,99.53099823
2148,99.52223969
2147,99.55212402
2146,99.47170258
2145,99.46904755
2144,99.48638916
2143,99.44033051
2142,99.5036087
2141,99.44766998
2140,99.44047546
2139,99.45767212
2138,99.46037292
2137,99.48187256
2136,99.47628784
2135,99.47145844
2134,99.44010925
2133,99.47515869
2132,99.46208954
2131,99.4691391
2130,99.51521301
2129,99.48170471
2128,99.51042175
2127,99.55725861
2126,99.52331543
2125,99.51876831
2124,99.53948975
2123,99.54715729
2122,99.54299164
2121,99.56747437
2120,99.57028961
2119,99.60066986
2118,99.56926727
