lambdaa,%T
1090,1.01386869
1089,1.204999685
1088,1.452774882
1087,1.765452743
1086,2.197266102
1085,2.747771025
1084,3.413577795
1083,4.3066926
1082,5.451913357
1081,6.846238136
1080,8.71042347
1079,11.07735634
1078,13.62861443
1077,16.63773346
1076,20.71990776
1075,25.71239471
1074,31.87971687
1073,39.61400223
1072,48.48369217
1071,58.11474228
1070,68.12493896
1069,77.2641983
1068,84.23226929
1067,89.23227692
1066,91.88406372
1065,92.91455078
1064,93.14919281
1063,93.01456451
1062,92.90979767
1061,92.85435486
1060,93.0267334
1059,93.21219635
1058,93.47471619
1057,93.65176392
1056,93.82403564
1055,93.94584656
1054,94.04258728
1053,94.10126495
1052,94.08695221
1051,94.09320068
1050,94.01568604
1049,93.98616791
1048,93.85941315
1047,93.75788879
1046,93.59555054
1045,93.50445557
1044,93.4269104
1043,93.42398071
1042,93.50520325
1041,93.57553864
1040,93.58522034
1039,93.67314911
1038,93.62242126
1037,93.54216003
1036,93.36906433
1035,93.17763519
1034,92.92012787
1033,92.751297
1032,92.57884979
1031,92.46066284
1030,92.37831116
1029,92.35874176
1028,92.38982391
1027,92.4724884
1026,92.50159454
1025,92.59933472
1024,92.66911316
1023,92.73971558
1022,92.81786346
1021,92.80448151
1020,92.86535645
1019,92.81993866
1018,92.77429199
1017,92.78318024
1016,92.70481873
1015,92.64487457
1014,92.5822525
1013,92.46271515
1012,92.36898041
1011,92.22318268
1010,91.99073029
1009,91.7371521
1008,91.56655884
1007,91.35684204
1006,91.19569397
1005,91.10969543
1004,91.18239594
1003,91.26070404
1002,91.42079926
1001,91.55273438
1000,91.75092316
999,91.7983017
998,91.81938171
997,91.83028412
996,91.7653656
995,91.7492981
994,91.71640015
993,91.72744751
992,91.7326889
991,91.69315338
990,91.57939148
989,91.48376465
988,91.3320694
987,91.15576935
986,91.02523804
985,90.9020462
984,90.85975647
983,90.87438965
982,90.91662598
981,90.96263885
980,90.86825562
979,90.74988556
978,90.39556885
977,89.70096588
976,88.41068268
975,86.14560699
974,82.47502899
973,77.39110565
972,70.3371048
971,62.05086136
970,53.61620712
969,45.0860405
968,37.12048721
967,30.27876663
966,24.29167557
965,19.39554214
964,15.67139912
963,12.8073349
962,10.67730331
961,8.850082397
960,7.004779816
959,5.408704281
958,4.190323353
957,3.298007727
956,2.58860445
955,2.048476458
954,1.655142188
953,1.329798698
952,1.078615189
